S.No.,EmployeeID,Managerial Status,Team Size,Work Schedule Flexibility,Project Type,Tenure,Work Hours Per Week,Commute Distance,Churn
81,5919-TMRGD, Manager ,Small,Fixed,Maintenance,7,31.9675,1.1587, Yes 
82,8108-UXRQN, Non-Manager ,Small,Flexible,Maintenance,17,30.5275,2.1307, No 
83,9191-MYQKX, Manager ,Small,Fixed,Research,13,31.7575,1.9938, Yes 
84,9919-YLNNG, Manager ,Small,Fixed,Research,48,33.19,9.655, No 
85,0318-ZOPWS, Manager ,Large,Fixed,Research,55,29.0075,2.9467, No 
86,4445-ZJNMU, Manager ,Small,Fixed,Support,15,32.965,2.8375, No 
87,4808-YNLEU, Manager ,Medium,Fixed,Research,41,31.1075,5.4309, No 
88,1862-QRWPE, Manager ,Large,Flexible,Research,54,29.0325,3.114, No 
89,2796-NNUFI, Manager ,Large,Fixed,Development,52,28.9975,2.8542, No 
90,3016-KSVCP, Non-Manager ,Small,Flexible,Development,35,29.6875,3.0185, No 
91,4767-HZZHQ, Manager ,Small,Flexible,Research,36,32.1025,6.1404, No 
92,2424-WVHPL, Manager ,Small,Flexible,Maintenance,7,31.735,1.1494, No 
93,7233-PAHHL, Manager ,Large,Fixed,Development,72,32.2,12.4285, No 
94,6067-NGCEU, Manager ,Small,Fixed,Support,71,33.5525,15.214, No 
95,9848-JQJTX, Manager ,Large,Fixed,Research,78,33.045,15.9181, No 
96,8637-XJIVR, Manager ,Small,Fixed,Maintenance,18,31.9475,2.8547, Yes 
97,9803-FTJCG, Manager ,Medium,Fixed,Support,77,31.3425,10.4974, No 
98,0278-YXOOG, Manager ,Small,Flexible,Development,11,29.0525,1.2277, Yes 
99,3212-KXOCR, Manager ,Large,Flexible,Research,58,29.05,3.2144, No 
100,4598-XLKNJ, Manager ,Small,Fixed,Maintenance,31,32.925,6.029, Yes 
101,6380-ARCEH, Manager ,Small,Flexible,Development,7,29.01,1.0404, No 
102,3679-XASPY, Manager ,Small,Flexible,Maintenance,7,28.9725,1.0389, No 
103,7123-WQUHX, Manager ,Medium,Flexible,Research,44,32.75,8.2112, No 
104,5386-THSLQ, Non-Manager ,Medium,Flexible,Research,72,30.2775,7.0545, No 
105,3192-NQECA, Manager ,Large,Fixed,Research,74,33.5,16.2237, Yes 
106,6180-YBIQI, Non-Manager ,Small,Flexible,Development,11,29.215,1.2004, No 
107,6728-DKUCO, Manager ,Medium,Fixed,Maintenance,78,33.2075,15.6061, No 
108,9750-BOOHV, Non-Manager ,Medium,Flexible,Development,38,29.5075,2.8553, No 
109,8597-CWYHH, Manager ,Medium,Flexible,Development,49,32.7175,8.8426, No 
110,2848-YXSMW, Manager ,Large,Flexible,Support,78,28.97,3.7265, No 
111,0486-HECZI, Manager ,Small,Fixed,Maintenance,61,32.8375,11.4778, Yes 
112,4549-ZDQYY, Manager ,Medium,Flexible,Support,58,30.8975,7.0845, No 
113,5712-AHQNN, Manager ,Small,Fixed,Maintenance,49,32.5825,8.9082, No 
114,4846-WHAFZ, Manager ,Small,Fixed,Maintenance,43,31.825,6.7363, Yes 
115,5256-SKJGO, Non-Manager ,Large,Fixed,Maintenance,70,30.73,7.847, No 
116,3071-VBYPO, Manager ,Small,Flexible,Maintenance,9,32.4925,1.4968, No 
117,9560-BBZXK, Non-Manager ,Large,Flexible,Research,42,29.5525,3.2527, No 
118,5299-RULOA, Manager ,Small,Fixed,Maintenance,16,33.0125,3.1293, Yes 
119,8402-OOOHJ, Manager ,Large,Flexible,Development,47,29.0325,2.6703, No 
120,9445-ZUEQE, Manager ,Small,Fixed,Support,33,32.26,5.3032, No 
121,1091-SOZGA, Manager ,Medium,Fixed,Support,62,32.99,12.0309, No 
122,2928-HLDBA, Manager ,Small,Flexible,Development,12,29.035,1.2255, No 
123,0404-SWRVG, Manager ,Small,Fixed,Maintenance,9,31.72,1.4591, Yes 
124,6497-TILVL, Manager ,Small,Flexible,Development,13,30.535,1.7007, No 
125,7219-TLZHO, Manager ,Small,Flexible,Development,10,29.0425,1.1258, No 
126,4622-YNKIJ, Manager ,Large,Fixed,Maintenance,39,32.4475,7.0553, No 
127,4412-YLTKF, Manager ,Small,Fixed,Maintenance,33,31.9025,5.271, Yes 
128,6734-PSBAW, Manager ,Large,Fixed,Research,78,29.1775,4.4479, No 
129,3930-ZGWVE, Manager ,Small,Flexible,Development,7,28.9875,1.0395, No 
130,2639-UGMAZ, Non-Manager ,Medium,Fixed,Maintenance,77,30.8225,8.9707, No 
131,2876-GZYZC, Manager ,Small,Fixed,Maintenance,19,32.2975,3.4313, No 
132,6207-WIOLX, Non-Manager ,Small,Fixed,Support,31,30.93,4.0053, Yes 
133,8587-XYZSF, Manager ,Large,Flexible,Research,73,30.5275,7.5202, No 
134,3091-FYHKI, Non-Manager ,Small,Fixed,Maintenance,7,29.7725,1.0709, Yes 
135,2372-HWUHI, Manager ,Small,Flexible,Maintenance,8,30.2175,1.1625, Yes 
136,7799-LGRDP, Manager ,Large,Fixed,Support,49,29.285,3.3764, No 
137,7850-VWJUU, Manager ,Small,Fixed,Research,29,31.75,4.557, No 
138,3774-VBNXY, Manager ,Large,Flexible,Development,70,29.01,3.5555, No 
139,6217-KDYWC, Manager ,Large,Fixed,Development,63,28.98,3.3411, No 
140,0390-DCFDQ, Manager ,Small,Fixed,Development,7,31.5225,1.1409, Yes 
141,3146-MSEGF, Manager ,Large,Fixed,Support,78,32.4025,13.8513, No 
142,4080-OGPJL, Manager ,Small,Flexible,Maintenance,14,31.5575,2.1273, Yes 
143,1095-WGNGG, Manager ,Large,Fixed,Research,67,33.0525,12.9425, No 
144,2636-SJDOU, Manager ,Medium,Fixed,Support,70,32.215,11.5781, No 
145,1131-QQZEB, Manager ,Large,Flexible,Research,77,29.1975,4.5124, No 
146,5716-EZXZN, Manager ,Large,Fixed,Support,71,32.9525,13.8334, No 
147,6837-BJYDQ, Manager ,Medium,Flexible,Development,9,28.98,1.1227, No 
148,2135-RXIHG, Manager ,Small,Fixed,Maintenance,7,30.2825,1.0913, Yes 
149,6440-DKQGE, Manager ,Medium,Flexible,Support,36,31.225,4.8599, No 
150,3466-BYAVD, Manager ,Small,Fixed,Development,21,31.475,3.1428, No 
151,3780-YVMFA, Manager ,Small,Fixed,Maintenance,14,31.4275,2.1287, No 
152,3874-EQOEP, Manager ,Small,Flexible,Development,13,32.75,2.311, Yes 
153,1679-JRFBR, Manager ,Medium,Fixed,Support,76,33.4075,16.8611, No 
154,9073-ZZIAY, Manager ,Large,Flexible,Maintenance,68,32.305,11.4305, No 
155,3077-RSNTJ, Manager ,Small,Flexible,Development,12,28.985,1.227, No 
156,6551-GNYDG, Manager ,Small,Fixed,Research,20,32.045,3.3056, No 
157,9167-APMXZ, Manager ,Small,Fixed,Research,28,32.2075,4.6439, No 
158,2749-CTKAJ, Manager ,Medium,Flexible,Development,28,29.0075,1.8398, No 
159,6371-NZYEG, Manager ,Large,Flexible,Development,22,31.2125,3.048, No 
160,7554-NEWDD, Manager ,Large,Flexible,Research,16,29.285,1.5032, No 
161,8992-VONJD, Manager ,Small,Fixed,Maintenance,19,30.8,2.5291, No 
162,0867-MKZVY, Manager ,Small,Flexible,Maintenance,26,32.12,4.1847, Yes 
163,4482-EWFMI, Manager ,Small,Fixed,Maintenance,8,31.485,1.2704, No 
164,4648-YPBTM, Manager ,Large,Fixed,Research,59,31.695,8.9165, No 
165,2907-ILJBN, Manager ,Medium,Flexible,Development,17,29.03,1.4678, No 
166,6345-FZOQH, Manager ,Large,Flexible,Development,75,28.995,3.7269, No 
167,3376-BMGFE, Manager ,Small,Fixed,Research,10,31.545,1.546, Yes 
168,5997-OPVFA, Manager ,Large,Fixed,Research,78,32.4525,13.5089, No 
169,3445-HXXGF, Non-Manager ,Small,Fixed,Maintenance,64,30.265,6.3024, Yes 
170,1159-WFSGR, Manager ,Small,Flexible,Maintenance,22,29.02,1.6428, No 
171,7654-YWJUF, Manager ,Medium,Fixed,Research,49,32.2125,8.0785, No 
172,1875-QIVME, Manager ,Small,Fixed,Maintenance,8,33.22,1.4856, Yes 
173,6727-IOTLZ, Manager ,Large,Flexible,Development,20,32.0975,3.3635, No 
174,0691-JVSYA, Manager ,Medium,Fixed,Research,59,32.7425,11.0004, Yes 
175,5918-VUKWP, Manager ,Medium,Flexible,Research,38,29.0275,2.3091, No 
176,1744-JHKYS, Manager ,Small,Flexible,Maintenance,40,29.235,2.5604, No 
177,2656-FMOKZ, Manager ,Small,Fixed,Development,21,31.7225,3.2914, Yes 
178,2070-FNEXE, Manager ,Small,Flexible,Research,13,31.8225,2.0072, Yes 
179,5947-SGKCL, Manager ,Small,Fixed,Research,21,33.2675,4.1185, No 
180,3712-PKXZA, Manager ,Medium,Fixed,Support,67,29.0275,3.504, No 
181,6317-YPKDH, Non-Manager ,Small,Flexible,Research,7,29.4975,1.0599, Yes 
182,6582-OIVSP, Manager ,Small,Flexible,Development,7,30.265,1.0906, No 
183,9367-WXLCH, Manager ,Small,Flexible,Research,14,32.225,2.3253, Yes 
184,5524-KHNJP, Manager ,Medium,Flexible,Support,39,31.7375,5.9066, No 
185,1918-ZBFQJ, Manager ,Small,Fixed,Maintenance,19,31.9625,3.2233, Yes 
186,1024-GUALD, Non-Manager ,Small,Fixed,Maintenance,7,29.24,1.0496, Yes 
187,4827-USJHP, Manager ,Small,Fixed,Development,26,30.59,3.0477, No 
188,8167-GJLRN, Non-Manager ,Small,Flexible,Maintenance,9,29.52,1.1643, No 
189,0956-SYCWG, Manager ,Medium,Flexible,Maintenance,19,28.9825,1.4896, No 
190,8017-UVSZU, Manager ,Small,Flexible,Support,46,30.83,5.7582, No 
191,7100-FQPRV, Manager ,Medium,Fixed,Support,49,31.595,7.3467, No 
192,2472-OVKUP, Manager ,Small,Fixed,Maintenance,12,32.55,2.062, Yes 
193,2984-RGEYA, Manager ,Large,Flexible,Research,75,28.9875,3.7508, No 
194,9680-NIAUV, Manager ,Large,Flexible,Support,78,33.485,17.2586, No 
195,2146-EGVDT, Manager ,Large,Flexible,Support,65,28.965,3.3854, No 
196,2604-IJPDU, Manager ,Small,Fixed,Maintenance,26,32.8275,4.8033, No 
197,9178-JHUVJ, Manager ,Large,Fixed,Research,30,29.205,2.1748, No 
198,6168-YBYNP, Manager ,Small,Fixed,Maintenance,65,33.5675,14.0395, No 
199,7255-SSFBC, Manager ,Large,Fixed,Research,78,33.6125,17.0833, No 
200,3645-DEYGF, Manager ,Small,Flexible,Development,7,29.0375,1.0415, No 
201,9323-HGFWY, Manager ,Medium,Fixed,Support,33,33.095,6.3623, No 
202,8544-GOQSH, Manager ,Small,Fixed,Support,20,32.0025,3.2246, No 
203,3363-DTIVD, Manager ,Large,Flexible,Maintenance,77,33.2775,15.811, No 
204,7018-WBJNK, Manager ,Small,Fixed,Support,19,31.915,3.0679, No 
205,9142-KZXOP, Manager ,Small,Flexible,Support,50,31.4425,6.9179, No 
206,7674-YTAFD, Manager ,Medium,Fixed,Research,39,31.9975,6.3697, No 
207,6348-SNFUS, Non-Manager ,Large,Fixed,Support,78,30.7725,9.3584, No 
208,1285-OKIPP, Manager ,Small,Flexible,Maintenance,7,31.995,1.1598, Yes 
209,7825-ECJRF, Manager ,Small,Fixed,Maintenance,25,33.33,4.8689, Yes 
210,1347-KTTTA, Manager ,Medium,Fixed,Support,70,33.1225,14.3082, No 
211,7841-TZDMQ, Manager ,Small,Fixed,Support,8,30.3,1.169, Yes 
212,4195-NZGTA, Non-Manager ,Small,Flexible,Maintenance,7,29.2625,1.0505, No 
213,7157-SMCFK, Manager ,Large,Flexible,Development,67,28.9875,3.2484, No 
214,4709-LKHYG, Manager ,Medium,Flexible,Maintenance,35,29,2.0801, No 
215,2504-DSHIH, Manager ,Small,Flexible,Maintenance,29,32.34,4.9517, No 
216,0699-NDKJM, Non-Manager ,Small,Fixed,Research,63,30.9375,7.8749, No 
217,9286-BHDQG, Non-Manager ,Large,Flexible,Support,78,30.2625,7.2796, No 
218,0230-WEQUW, Non-Manager ,Large,Fixed,Research,72,30.83,8.5784, No 
219,2040-LDIWQ, Manager ,Large,Fixed,Research,71,32.21,11.649, No 
220,6496-JDSSB, Manager ,Small,Fixed,Research,14,32,2.2492, No 
221,9408-SSNVZ, Manager ,Small,Fixed,Maintenance,10,31.5075,1.5367, Yes 
222,4443-EMBNA, Manager ,Large,Flexible,Research,77,29.2375,4.6738, No 
223,6469-MRVET, Manager ,Medium,Fixed,Maintenance,7,29.01,1.0404, No 
224,0742-MOABM, Manager ,Small,Flexible,Development,10,30.5025,1.3587, Yes 
225,5961-VUSRV, Manager ,Medium,Fixed,Research,18,28.9675,1.4387, No 
226,6778-JFCMK, Non-Manager ,Medium,Fixed,Development,30,30.53,3.5775, No 
227,6341-JVQGF, Manager ,Medium,Fixed,Development,37,32.0575,6.0915, No 
228,2232-DMLXU, Manager ,Small,Flexible,Development,7,30.76,1.1104, Yes 
229,4811-JBUVU, Manager ,Small,Fixed,Support,36,32.495,6.4463, No 
230,0945-TSONX, Manager ,Large,Fixed,Support,53,32.265,9.2145, No 
231,2651-ZCBXV, Manager ,Large,Fixed,Support,60,33.4,12.5213, No 
232,3316-UWXUY, Manager ,Small,Fixed,Support,56,32.675,10.495, No 
233,8937-RDTHP, Manager ,Small,Fixed,Development,7,32.23,1.1692, Yes 
234,7083-MIOPC, Manager ,Large,Flexible,Support,78,29.0125,4.1338, No 
235,1984-GPTEH, Manager ,Small,Flexible,Maintenance,35,29.2575,2.404, No 
236,1251-KRREG, Manager ,Small,Fixed,Development,8,30.72,1.2282, Yes 
237,0621-JFHOL, Non-Manager ,Large,Fixed,Development,16,29.48,1.5981, No 
238,9903-LYSAB, Manager ,Small,Fixed,Maintenance,24,31.6575,3.6119, No 
239,0094-OIFMO, Manager ,Small,Fixed,Maintenance,17,32.75,3.2406, Yes 
240,9227-UAQFT, Manager ,Large,Flexible,Development,22,28.9875,1.5687, No 
241,7301-ABVAD, Manager ,Large,Flexible,Research,78,32.33,13.701, No 
242,6614-FHDBO, Manager ,Large,Flexible,Research,78,33.46,16.7566, No 
243,7576-ASEJU, Manager ,Medium,Fixed,Support,47,31.735,7.3753, No 
244,9058-HRZSV, Manager ,Small,Flexible,Maintenance,71,32.72,13.2523, No 
245,4522-AKYLR, Manager ,Small,Fixed,Maintenance,19,30.74,2.4626, No 
246,0221-WMXNQ, Manager ,Small,Flexible,Maintenance,10,31.7675,1.5468, No 
247,0303-UNCIP, Manager ,Medium,Flexible,Development,47,31.25,6.0636, No 
248,9947-OTFQU, Manager ,Small,Fixed,Maintenance,21,31.72,3.1486, Yes 
249,0322-YINQP, Manager ,Small,Fixed,Development,7,30.4275,1.0971, Yes 
250,0959-WHOKV, Manager ,Medium,Fixed,Maintenance,48,32.95,9.5969, No 
251,4075-JFPGR, Manager ,Medium,Fixed,Maintenance,57,32.675,10.2391, No 
252,4629-NRXKX, Manager ,Small,Flexible,Maintenance,8,31.52,1.2943, Yes 
253,9514-JDSKI, Non-Manager ,Small,Flexible,Maintenance,7,30.01,1.0804, Yes 
254,3282-ZISZV, Manager ,Medium,Flexible,Support,38,32.185,6.2666, No 
255,3675-YDUPJ, Manager ,Small,Fixed,Development,16,28.9925,1.3861, No 
256,4111-BNXIF, Non-Manager ,Large,Fixed,Maintenance,73,30.9775,9.2078, No 
257,7017-VFHAY, Manager ,Large,Flexible,Support,67,33.755,15.0163, No 
258,6655-LHBYW, Manager ,Medium,Flexible,Support,56,33.7175,12.5822, No 
259,4959-JOSRX, Manager ,Small,Fixed,Support,8,30.23,1.1611, Yes 
260,5046-NUHWD, Non-Manager ,Small,Fixed,Maintenance,35,30.25,3.4573, No 
261,7273-TEFQD, Non-Manager ,Small,Fixed,Maintenance,9,30.0575,1.2644, Yes 
262,3606-TWKGI, Manager ,Small,Fixed,Maintenance,19,33.345,3.7286, Yes 
263,7529-ZDFXI, Manager ,Small,Fixed,Maintenance,63,32.4925,10.8507, No 
264,7605-BDWDC, Non-Manager ,Large,Fixed,Research,37,30.4925,4.0402, No 
265,1950-KSVVJ, Manager ,Medium,Flexible,Development,51,33.665,11.0645, No 
266,0123-CRBRT, Manager ,Large,Flexible,Development,67,32.405,12.0535, No 
267,6292-TOSSS, Manager ,Large,Flexible,Research,56,29.245,3.3905, No 
268,3197-ARFOY, Manager ,Small,Fixed,Development,25,33.25,5.0145, No 
269,6323-AYBRX, Manager ,Large,Flexible,Development,65,28.9675,3.1992, Yes 
270,7014-ZZXAW, Manager ,Large,Fixed,Support,77,29.2125,4.4659, No 
271,4385-GZQXV, Manager ,Small,Fixed,Maintenance,22,32.7225,4.0224, Yes 
272,7633-MVPUY, Manager ,Large,Fixed,Maintenance,63,30.9875,7.9003, No 
273,6366-ZGQGL, Non-Manager ,Small,Flexible,Research,7,29.24,1.0496, Yes 
274,4716-HHKQH, Manager ,Small,Flexible,Maintenance,26,33.3525,5.3441, No 
275,5940-AHUHD, Manager ,Small,Flexible,Development,7,31.53,1.1412, Yes 
276,6432-TWQLB, Manager ,Small,Fixed,Maintenance,11,32.27,1.8022, Yes 
277,4484-GLZOU, Manager ,Small,Fixed,Maintenance,58,33.2525,12.2497, Yes 
278,3179-GBRWV, Manager ,Small,Fixed,Research,27,31.2475,3.6796, No 
279,8645-KWHJO, Non-Manager ,Small,Fixed,Maintenance,20,30.75,2.5439, No 
280,4130-MZLCC, Manager ,Small,Flexible,Research,11,30.5275,1.4895, No 
281,0314-TKOSI, Manager ,Small,Flexible,Development,12,30.7575,1.6458, No 
282,8229-MYEJZ, Manager ,Small,Flexible,Maintenance,16,30.56,1.9965, No 
283,2080-SRCDE, Manager ,Small,Flexible,Development,7,29.27,1.0508, No 
284,9577-WJVCQ, Manager ,Small,Flexible,Development,74,30.7225,8.3755, No 
285,9512-UIBFX, Manager ,Small,Flexible,Development,24,32.7575,4.5599, Yes 
286,6202-DYYFX, Manager ,Medium,Fixed,Support,28,31.8,4.5672, No 
287,3808-HFKDE, Manager ,Small,Fixed,Maintenance,26,30.2175,2.8543, No 
288,5583-SXDAG, Manager ,Small,Flexible,Maintenance,7,31.5,1.14, Yes 
289,3488-PGMQJ, Manager ,Small,Fixed,Maintenance,14,31.725,2.2131, Yes 
290,3580-REOAC, Manager ,Small,Fixed,Support,16,30.2425,1.8708, Yes 
291,7534-BFESC, Manager ,Small,Fixed,Maintenance,30,31.805,4.4254, Yes 
292,3727-OWVYD, Manager ,Medium,Flexible,Development,41,31.06,5.0424, No 
293,2294-SALNE, Manager ,Medium,Flexible,Development,29,32.34,4.8816, No 
294,4847-TAJYI, Manager ,Small,Fixed,Maintenance,12,32.4675,2.1356, No 
295,1563-IWQEX, Manager ,Small,Flexible,Development,18,28.985,1.4407, No 
296,8203-XJZRC, Manager ,Small,Flexible,Development,7,29.0125,1.0405, No 
297,6556-DBKZF, Manager ,Large,Flexible,Maintenance,77,31.8025,11.8729, No 
298,6851-WEFYX, Manager ,Small,Fixed,Maintenance,41,33.04,7.875, No 
299,2985-JUUBZ, Manager ,Small,Fixed,Maintenance,46,31.7275,7.0315, No 
300,6390-DSAZX, Manager ,Small,Fixed,Development,7,31.68,1.1472, Yes 
301,0895-LMRSF, Manager ,Medium,Fixed,Research,29,31.245,4.0196, No 
302,8098-LLAZX, Manager ,Small,Fixed,Maintenance,10,32.7725,1.7922, Yes 
303,8266-VBFQL, Manager ,Small,Fixed,Maintenance,10,32.52,1.7133, No 
304,8181-YHCMF, Non-Manager ,Large,Flexible,Support,74,31.015,9.218, No 
305,2240-HSJQD, Manager ,Small,Fixed,Development,44,32.0925,7.2834, No 
306,1248-DYXUB, Manager ,Large,Flexible,Development,58,29.24,3.4582, No 
307,0265-EDXBD, Manager ,Small,Fixed,Maintenance,38,31.745,5.6067, Yes 
308,4115-BNPJY, Manager ,Large,Flexible,Development,35,31.7775,5.1088, No 
309,3167-SNQPL, Manager ,Small,Flexible,Maintenance,44,33.0575,8.4837, No 
310,4091-TVOCN, Manager ,Medium,Fixed,Support,54,31.9375,8.3649, No 
311,1098-TDVUQ, Manager ,Small,Fixed,Research,7,28.9625,1.0385, No 
312,7277-OZCGZ, Manager ,Small,Fixed,Maintenance,28,32.4525,4.7725, No 
313,1557-EMYVT, Manager ,Large,Flexible,Support,49,33.7525,10.7902, No 
314,2799-ARNLO, Manager ,Small,Fixed,Maintenance,11,31.4675,1.6832, No 
315,7563-BIUPC, Manager ,Small,Fixed,Maintenance,11,32.03,1.8311, Yes 
316,5027-YOCXN, Manager ,Medium,Flexible,Support,57,33.5025,12.3728, No 
317,3973-SKMLN, Manager ,Large,Fixed,Support,77,28.995,3.7102, No 
318,2321-OMBXY, Manager ,Medium,Flexible,Support,44,32.015,7.1173, Yes 
